key,value
solver,gbd
num_clients,30
num_helpers,2
strong_ratio,0.8
status,Converged
total_time,1.9063363075256348
total_iterations,3
final_objective_ub,1.1201635198397493
final_lower_bound_lb,1.1201635
best_solution_int,"{'x_i': {0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0, 28: 0, 29: 1}, 'N_i': {0: 128, 1: 128, 2: 128, 3: 128, 4: 128, 5: 128, 6: 128, 7: 128, 8: 128, 9: 128, 10: 128, 11: 128, 12: 128, 13: 128, 14: 128, 15: 128, 16: 128, 17: 128, 18: 128, 19: 128, 20: 128, 21: 128, 22: 128, 23: 128, 24: 128, 25: 128, 26: 128, 27: 128, 28: 128, 29: 128}, 'Y_ij': {(0, 0): 0, (0, 1): 1, (1, 0): 0, (1, 1): 1, (2, 0): 0, (2, 1): 1, (3, 0): 0, (3, 1): 1, (4, 0): 0, (4, 1): 1, (5, 0): 0, (5, 1): 1, (6, 0): 0, (6, 1): 1, (7, 0): 0, (7, 1): 1, (8, 0): 0, (8, 1): 1, (9, 0): 0, (9, 1): 1, (10, 0): 0, (10, 1): 1, (11, 0): 0, (11, 1): 1, (12, 0): 1, (12, 1): 0, (13, 0): 0, (13, 1): 1, (14, 0): 0, (14, 1): 1, (15, 0): 0, (15, 1): 1, (16, 0): 0, (16, 1): 1, (17, 0): 0, (17, 1): 1, (18, 0): 0, (18, 1): 1, (19, 0): 0, (19, 1): 1, (20, 0): 0, (20, 1): 1, (21, 0): 0, (21, 1): 1, (22, 0): 0, (22, 1): 1, (23, 0): 0, (23, 1): 1, (24, 0): 0, (24, 1): 1, (25, 0): 0, (25, 1): 1, (26, 0): 0, (26, 1): 1, (27, 0): 0, (27, 1): 1, (28, 0): 0, (28, 1): 1, (29, 0): 0, (29, 1): 0}}"
